993k  183.188.29.63:6000
988k  171.119.206.87:6000
977k  60.223.72.177:8003
890k  171.119.206.87:6001
887k  221.205.94.14:8085
845k  221.205.69.188:8005
833k  116.179.130.148:6000
760k  221.205.69.188:8003
711k  183.188.20.143:6000
700k  60.223.72.34:8001
628k  124.164.37.238:40000
612k  171.120.125.12:8082
531k  183.184.8.114:8003
489k  171.118.120.240:8085
475k  60.220.167.83:8084
468k  171.117.140.109:8084
437k  183.191.227.128:8084
408k  118.81.49.137:8084
383k  171.118.210.23:8083
376k  183.191.227.128:8082
365k  221.205.46.124:7000
364k  171.120.229.93:8082
342k  171.117.247.141:8084
335k  60.220.167.33:8085
312k  171.117.75.115:8085
295k  171.120.56.175:8084
276k  60.223.72.41:8005
267k  183.191.209.53:8085
261k  171.117.247.141:8085
259k  171.120.56.175:8082
258k  171.118.210.23:8082
257k  171.118.210.23:8085
256k  171.120.56.175:8085
237k  118.81.49.137:8085
236k  221.205.244.252:9999
233k  183.191.227.177:8083
233k  171.117.247.141:8082
176k  183.191.227.177:8085
165k  60.223.72.177:8001
163k  60.220.167.83:8085
159k  183.184.60.177:8082
154k  183.185.66.46:8085
153k  183.184.60.177:8085
145k  183.191.227.128:8085
140k  183.185.66.46:8083
125k  118.81.49.137:8082
123k  118.81.49.137:8083
121k  171.117.140.109:8085
109k  221.205.18.162:8082
108k  183.184.60.177:8083
105k  171.120.195.48:8084
104k  183.191.227.177:8084
