1000k  61.157.92.26:8443
866k  171.213.129.153:19999
847k  171.213.131.203:9100
841k  222.209.122.21:4443
771k  171.213.204.143:8686
739k  118.114.121.52:19999
654k  118.113.159.252:4022
621k  125.69.138.190:8880
603k  182.150.185.120:9999
496k  171.213.208.35:4022
372k  171.213.139.36:58888
318k  171.213.140.62:6699
260k  171.88.137.8:5555
236k  182.138.160.205:9000
229k  118.113.179.11:58888
227k  125.70.173.91:4022
195k  171.213.129.197:4022
193k  182.138.221.226:8888
123k  171.213.208.91:8096
